Job Title,location,Posted At,Application URL
Elementary School Secretary - Full Time,"8 School Street Fairfield, ME 04937 United States",11/13/2025,https://careers.liveandworkinmaine.com/job/mmsez4/elementary-school-secretary-full-time/fairfield/me/united-states
"Front Office Specialist $1,000 BONUS","85 Western Ave South Portland, ME 04106 United States",11/12/2025,https://careers.liveandworkinmaine.com/job/f5lyad/front-office-specialist-1-000-bonus/south-portland/me/united-states
Family Specialists I And Ii,"42 Cedar Street Bangor, ME 04402 United States",11/12/2025,https://careers.liveandworkinmaine.com/job/xc9rnf/family-specialists-i-and-ii/bangor/me/united-states
Maintenance Specialist,"280 B Gannett Dr South Portland, ME 04106 United States",11/07/2025,https://careers.liveandworkinmaine.com/job/v2kkvu/maintenance-specialist/south-portland/me/united-states
Deputy Executive Director,"15 Terminal Rd Ste 200 Brunswick, ME 04011 United States",10/31/2025,https://careers.liveandworkinmaine.com/job/9ubn3t/deputy-executive-director/brunswick/me/united-states
Customer Service & Order Entry,"15 Pleasant Hill Road Suite 104 Scarborough, ME 04074 United States",10/25/2025,https://careers.liveandworkinmaine.com/job/h9qxm4/customer-service-order-entry/scarborough/me/united-states
Fire And Ambulance Emergency Medical Services (Ems) Captain,"131 Church Street Belfast, ME 04915 United States",10/24/2025,https://careers.liveandworkinmaine.com/job/5bg9v2/fire-and-ambulance-emergency-medical-services-(ems)-captain/belfast/me/united-states
Chief Financial Officer,"323 State Street Augusta, ME 04330 United States",10/24/2025,https://careers.liveandworkinmaine.com/job/twyxk8/chief-financial-officer/augusta/me/united-states
Customer Service & Order Entry,"15 Pleasant Hill Road Suite 104 Scarborough, ME 04074 United States",10/20/2025,https://careers.liveandworkinmaine.com/job/3uu35g/customer-service-order-entry/scarborough/me/united-states
Truck Driver - Equipment Operator,"682 Main Street Vassalboro, ME 04962 United States",10/18/2025,https://careers.liveandworkinmaine.com/job/zw4r5d/truck-driver-equipment-operator/vassalboro/me/united-states
Truck Driver - Equipment Operator,"682 Main Street Vassalboro, ME 04962 United States",10/17/2025,https://careers.liveandworkinmaine.com/job/6wpm9w/truck-driver-equipment-operator/vassalboro/me/united-states
Administrative Specialist,"75 Clearwater Drive Suite 104 Falmouth, ME 04105 United States",10/14/2025,https://careers.liveandworkinmaine.com/job/pueq64/administrative-specialist/falmouth/me/united-states
Speech Therapist,"Bangor, ME United States",11/13/2025,https://careers.liveandworkinmaine.com/job/r9be9n/speech-therapist/bangor/me/united-states
Hospital Psychologist,"Dorothea Dix Psychiatric Center 656 State Street Bangor, ME 04401 United States",11/13/2025,https://careers.liveandworkinmaine.com/job/djrwec/hospital-psychologist/bangor/me/united-states
Tax Examiner - Income/Estate Tax Division,"51 Commerce Drive Augusta, ME 04333 United States",11/13/2025,https://careers.liveandworkinmaine.com/job/m3dhfn/tax-examiner-income-estate-tax-division/augusta/me/united-states
Tax Examiner II,"51 Commerce Drive 4th Floor Augusta, ME 04333 United States",11/13/2025,https://careers.liveandworkinmaine.com/job/p57t8q/tax-examiner-ii/augusta/me/united-states
Assistant Varsity Outdoor Track and Field Coach,"10 Libby Hill Road Gray, ME 04039 United States",11/13/2025,https://careers.liveandworkinmaine.com/job/r445jz/assistant-varsity-outdoor-track-and-field-coach/gray/me/united-states
Assistant Varsity Indoor Track and Field Coach,"10 Libby Hill Road Gray, ME 04039 United States",11/13/2025,https://careers.liveandworkinmaine.com/job/qnm83g/assistant-varsity-indoor-track-and-field-coach/gray/me/united-states
"Special Education Teacher, Self-Contained/Choices","66 Vine St. Bangor, ME 04401 United States",11/13/2025,https://careers.liveandworkinmaine.com/job/nwx2wv/special-education-teacher-self-contained-choices/bangor/me/united-states
Part-Time (.5) Multilingual Educational Technician III,"58 Woodville Rd Falmouth, ME 04105 United States",11/12/2025,https://careers.liveandworkinmaine.com/job/22uryu/part-time-(5)-multilingual-educational-technician-iii/falmouth/me/united-states
Elementary School Secretary - Full Time,"8 School Street Fairfield, ME 04937 United States",11/13/2025,https://careers.liveandworkinmaine.com/job/mmsez4/elementary-school-secretary-full-time/fairfield/me/united-states
