Name,Frequency
inventory management,484
data analysis,318
microsoft office,260
driver's license,258
cash handling,254
data entry,210
vehicle registration,193
mileage reimbursement,187
excel,168
point of sale,140
cpr,122
time management,103
computer skills,103
food safety,102
scheduling,90
bls,87
first aid,86
lesson planning,83
sql,82
coaching,75
microsoft excel,74
nursing,74
forklift operation,71
inventory,70
medication administration,67
data collection,66
sales,65
inventory control,64
cleaning,64
medication,63
cna,63
project management,62
hvac,57
sanitation,56
product knowledge,55
python,55
crm,54
budgeting,52
emr,51
acls,48
cdl,48
computer,48
medical terminology,47
plumbing,47
mail sorting,47
salesforce,46
supervision,44
accounting,43
classroom management,43
gps navigation,43
insurance,43
rn,42
customer service,42
electrical,42
assessment,41
bcba,40
microsoft word,40
electronic health records,39
phlebotomy,39
curriculum development,38
maintenance,37
package delivery,37
financial analysis,37
carpentry,36
documentation,35
warehouse management,35
aba,35
merchandising,35
electronic medical records,35
sap,34
certification,33
ms office,32
epic,32
ehr,31
vehicle maintenance,31
food preparation,31
lifting,31
medical coding,29
database management,29
machining,29
case management,29
bsn,29
medical records,29
hipaa,29
package lifting,28
special education,27
child development,27
pos systems,27
training,26
vacuuming,26
basic life support,26
medication management,26
word,26
erp,26
pickleball,25
package handling,25
laundry,25
microsoft,25
forklift,24
data structures,24
powerpoint,24
outlook,24
dishwashing,23
ekg,23
equipment maintenance,23
equipment operation,23
lpn,23
insurance verification,22
early childhood education,22
medical billing,22
osha,22
curriculum,22
leadership,22
marketing,22
windows,21
painting,21
housekeeping,21
pharmacy,21
transportation,21
manufacturing,21
cpr certification,20
pos,20
vital signs,20
quality control,20
commission,20
microsoft office suite,20
compliance,19
pos system,19
aws,19
tennis,19
pharmacology,18
sales strategy,18
route navigation,18
driving,18
personal care,17
instruction,17
retail management,17
curriculum design,17
material handling,16
machine operation,16
database,16
autocad,16
registered nurse,16
retail operations,16
packaging,16
retail sales,15
typing,15
pharmacy systems,15
reporting,15
treatment planning,15
fingerprinting,15
background check,15
retail,15
oracle,15
payroll,15
crisis intervention,15
microsoft 365,14
tb test,14
troubleshooting,14
bls certification,14
welding,14
retail technology,14
cashiering,14
store operations,14
point-of-sale,14
power tools,14
sales analysis,14
infection control,14
ecg,14
meat cutting,14
