Job Title,Employer Website,Employer Name,Location,Min Salary,Max Salary,Posted At,Application URL
Part-Time Medical Provider/Director,https://jobsinmaine.com/companies/catholic-charities-maine-5447769,Catholic Charities Maine,"Auburn, Maine, United States",$140/hour,$200/hour,2025-11-06 12:39:17,/jobs/173249040/apply
KVCC Athletic Director,https://jobsinmaine.com/companies/kennebec-valley-community-college-3796832,Kennebec Valley Community College,"Fairfield, Maine, United States",,,2025-11-05 15:39:18,/jobs/172702272/apply
Customer Service Account Associate  On-Site,https://jobsinmaine.com/companies/t-mobile-5381423,T-Mobile,"Oakland, Maine, United States",$0/year,$0/year,2025-11-05 15:39:19,/jobs/172594430/apply
Driving Instructor,https://jobsinmaine.com/companies/mullens-driving-school-inc-5997961,"Mullens Driving School, INC.","Gorham, Maine, United States",$20/hour,$28/hour,2025-11-03 15:39:19,/jobs/172240923/apply
Customer Relationship Management Platform Manager,https://jobsinmaine.com/companies/university-of-maine-cooperative-extension-5957057,University of Maine - Cooperative Extension,"Orono, Maine, United States",$65k/year,$68k/year,2025-10-30 15:39:20,/jobs/168636212/apply
Multimedia Content Developer,https://jobsinmaine.com/companies/maine-seacoast-mission-5949399,Maine Seacoast Mission,"Northeast Harbor, Maine, United States",$57k/year,$65k/year,2025-10-23 15:39:21,/jobs/168454531/apply
Downeast Director,https://jobsinmaine.com/companies/maine-seacoast-mission-5949399,Maine Seacoast Mission,"Cherryfield, Maine, United States",$82k/year,$92k/year,2025-10-23 15:39:22,/jobs/168349092/apply
Administrative Coordinator,https://jobsinmaine.com/companies/northland-management-corp-5944401,Northland Management Corp,"17 South Street, 3rd Floor, Portland, ME 04101",$22/hour,$25/hour,2025-10-23 15:39:23,/jobs/168112451/apply
Bus Operator,https://jobsinmaine.com/companies/biddeford-saco-oob-transit-5940894,Biddeford Saco OOB Transit,"Biddeford, Maine, United States",$26.11/hour,$29.06/hour,2025-10-23 15:39:24,/jobs/168010392/apply
On-Call Snowplow Driver,https://jobsinmaine.com/companies/mainemoss-inc-5919729,Mainemoss Inc,"Georgetown, Maine, United States",$25/hour,$25/hour,2025-10-16 15:39:24,/jobs/167244400/apply
Kitchen & Bath Specialist,https://jobsinmaine.com/companies/mccormack-building-supply-5324724,McCormack Building Supply,"Winslow, Maine, United States",,,2025-10-16 15:39:25,/jobs/166933347/apply
Outside Sales Representative,https://jobsinmaine.com/companies/mccormack-building-supply-5324724,McCormack Building Supply,"Winslow, Maine, United States",,,2025-10-16 15:39:26,/jobs/166933134/apply
Sales Associate,https://jobsinmaine.com/companies/mccormack-building-supply-5324724,McCormack Building Supply,"Winslow, Maine, United States",$42k/year,$75k/year,2025-10-16 15:39:27,/jobs/166932522/apply
HIGHEST PAID REMOTE SALES POSITION,https://jobsinmaine.com/companies/emergent-financial-group-4012326,Emergent Financial Group,"Belfast, Maine, United States",$40k/year,$400k/year,2025-11-06 01:39:28,/jobs/169030887/apply
Environmental Services Technician I - Bar Harbor,https://jobsinmaine.com/companies/the-jackson-laboratory-2470939,The Jackson Laboratory,"Bar Harbor, Maine, United States",,,2025-11-06 00:39:29,/jobs/173283766/apply
Retail Sales Associate (Seasonal),https://jobsinmaine.com/companies/new-balance-athletics-inc-4653558,"New Balance Athletics, Inc.","Kittery, Maine, United States",,,2025-11-06 00:39:30,/jobs/173283767/apply
Retail Sales Associate PT,https://jobsinmaine.com/companies/new-balance-athletics-inc-4653558,"New Balance Athletics, Inc.","Oxford, Maine, United States",,,2025-11-06 00:39:31,/jobs/173283765/apply
Retail Team Lead (PT),https://jobsinmaine.com/companies/new-balance-athletics-inc-4653558,"New Balance Athletics, Inc.","Kittery, Maine, United States",,,2025-11-06 00:39:31,/jobs/173283768/apply
Production Manager,https://jobsinmaine.com/companies/international-flavors-and-fragrances-4154169,International Flavors and Fragrances,"Rockland, Maine, United States",,,2025-11-05 23:39:33,/jobs/173283769/apply
Fifth-Year Fellowship: Office of Civic Engagement and Community Partnerships,https://jobsinmaine.com/companies/colby-college-3216011,Colby College,"Colby College, United States of America",,,2025-11-05 22:39:34,/jobs/172952845/apply
